Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2,MJO_Phase,MJO_Amplitude,Nino34_Anomaly,Dry_Spell_Days_Streak,Target_Crops,Rolling_Rainfall_7d_mm,Rolling_Rainfall_30d_mm,zone_id,Drought_Stress_Index,Waterlogging_Risk_Index,dtr_c,vpd_kpa,day_of_year,doy_sin,doy_cos,mjo_phase_sin,mjo_phase_cos,rolling_rain_3d_mm,rolling_rain_15d_mm,target_onset_window_14d,target_false_onset_flag,target_dry_spell_5d_14d,target_dry_spell_7d_21d,target_heavy_rain_7d,target_revival_7d,iod_dmi,iod_positive_flag,iod_negative_flag,iod_dmi_lag7,iod_dmi_lag14,u850_regional,v850_regional,wind850_speed,mslp_regional,regional_slp_gradient,u850_lag7,mslp_lag7,u850_rolling_7d,mslp_rolling_7d
2020-01-01,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,26.32,10.8,41.4,21.52,3,0.802,-0.912,1,Pineapple,0.0,0.0,terai_teesta,0.0,0.007,15.52,1.2527,1,0.0172,0.99985,0.70711,-0.70711,0.0,0.0,0,0,0,0,0,0,0.6,1,0,0.75,1.0,-1.5833,0.825,1.7854,1019.89,1.56,-1.5833,1019.89,-1.5833,1019.89
2020-01-02,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,22.65,10.97,42.4,22.3,7,1.525,-0.788,2,Pineapple,0.0,0.0,terai_teesta,0.0,0.012,11.679999999999998,1.1027,2,0.0344,0.99941,-0.70711,0.70711,0.0,0.0,0,0,0,0,0,0,0.6,1,0,0.75,1.0,-1.5833,0.825,1.7854,1019.89,1.56,-1.5833,1019.89,-1.5833,1019.89
2020-01-03,Terai_Teesta_Zone,Alipurduar,26.49,89.53,36.6,19.16,10.79,51.2,11.74,7,0.816,-0.796,0,Tea,36.6,36.6,terai_teesta,0.0,0.202,8.370000000000001,0.8308,3,0.05158,0.99867,-0.70711,0.70711,36.6,36.6,0,0,0,0,0,0,0.6,1,0,0.75,1.0,-0.8583,1.5833,1.801,1020.19,1.69,-1.5833,1019.89,-1.3416,1019.99
2020-01-04,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,20.58,10.45,44.5,22.01,8,1.321,-0.801,1,Pineapple,36.6,36.6,terai_teesta,0.0,0.169,10.13,0.9783,4,0.06876,0.99763,-0.0,1.0,36.6,36.6,0,0,0,0,0,0,0.6,1,0,0.75,1.0,-0.7639,1.5306,1.7106,1017.18,-0.72,-1.5833,1019.89,-1.1972,1019.29
2020-01-05,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,21.77,12.86,39.6,22.1,2,0.607,-0.715,2,Pineapple,36.6,36.6,terai_teesta,0.0,0.144,8.91,1.1939,5,0.08591,0.9963,1.0,0.0,36.6,36.6,0,0,0,0,0,0,0.6,1,0,0.75,1.0,1.2333,0.85,1.4979,1014.8,-1.57,-1.5833,1019.89,-0.7111,1018.39
2020-01-06,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,22.11,9.28,45.4,21.39,5,1.854,-0.777,3,Pineapple,36.6,36.6,terai_teesta,0.0,0.173,12.83,0.9736,6,0.10303,0.99468,-0.70711,-0.70711,0.0,36.6,0,0,0,0,0,0,0.6,1,0,0.75,1.0,2.6611,-1.8417,3.2362,1015.8,-1.62,-1.5833,1019.89,-0.1491,1017.96
2020-01-07,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,19.0,8.72,39.9,21.24,8,1.607,-0.651,4,Pineapple,36.6,36.6,terai_teesta,0.0,0.146,10.28,0.952,7,0.12013,0.99276,-0.0,1.0,0.0,36.6,0,0,0,0,0,0,0.6,1,0,0.75,1.0,0.6333,-3.0556,3.1205,1018.89,0.56,-1.5833,1019.89,-0.0373,1018.09
2020-01-08,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,21.0,10.09,51.4,21.69,6,1.122,-0.806,5,Pineapple,36.6,36.6,terai_teesta,0.0,0.203,10.91,0.8583,8,0.13719,0.99055,-1.0,-0.0,0.0,36.6,0,0,0,0,0,1,0.59,1,0,0.6,0.75,1.6139,-2.7861,3.2198,1016.17,-0.72,-1.5833,1019.89,0.4194,1017.56
2020-01-09,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,20.03,11.56,44.0,20.89,4,0.834,-0.934,6,Pineapple,36.6,36.6,terai_teesta,0.0,0.166,8.47,1.005,9,0.1542,0.98804,0.0,-1.0,0.0,36.6,0,0,0,0,0,1,0.59,1,0,0.6,0.75,1.2361,-0.8861,1.5209,1015.1,-0.52,-1.5833,1019.89,0.8222,1016.88
2020-01-10,Terai_Teesta_Zone,Alipurduar,26.49,89.53,0.0,21.22,10.43,46.7,21.59,2,2.064,-0.803,7,Pineapple,0.0,36.6,terai_teesta,0.0,0.034,10.79,0.9583,10,0.17118,0.98524,1.0,0.0,0.0,36.6,0,0,0,0,0,1,0.59,1,0,0.6,0.75,2.6472,0.5833,2.7107,1015.4,-0.61,-0.8583,1020.19,1.323,1016.19
