Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2,MJO_Phase,MJO_Amplitude,Nino34_Anomaly,Dry_Spell_Days_Streak,Target_Crops,Rolling_Rainfall_7d_mm,Rolling_Rainfall_30d_mm,Active_Crop_Cycle
2020-01-01,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.54,11.7,41.4,22.55,3,0.802,-0.912,1,Potato,0.0,0.0,Rabi_Potato_Boro
2020-01-02,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,22.27,11.67,50.7,20.76,7,1.525,-0.788,2,Potato,0.0,0.0,Rabi_Potato_Boro
2020-01-03,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.32,13.29,43.1,23.51,7,0.816,-0.796,3,Potato,0.0,0.0,Rabi_Potato_Boro
2020-01-04,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.0,11.5,40.2,21.53,8,1.321,-0.801,4,Potato,0.0,0.0,Rabi_Potato_Boro
2020-01-05,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,10.54,24.76,13.06,45.2,18.34,2,0.607,-0.715,0,Potato,10.54,10.54,Rabi_Potato_Boro
2020-01-06,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.97,11.18,46.0,22.65,5,1.854,-0.777,1,Potato,10.54,10.54,Rabi_Potato_Boro
2020-01-07,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.79,12.87,38.5,21.49,8,1.607,-0.651,2,Potato,10.54,10.54,Rabi_Potato_Boro
2020-01-08,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.5,11.18,44.2,21.95,6,1.122,-0.806,3,Potato,10.54,10.54,Rabi_Potato_Boro
2020-01-09,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.14,10.59,46.0,20.67,4,0.834,-0.934,4,Potato,10.54,10.54,Rabi_Potato_Boro
2020-01-10,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,22.64,10.96,43.3,20.82,2,2.064,-0.803,5,Potato,10.54,10.54,Rabi_Potato_Boro
2020-01-11,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.87,13.1,48.3,22.52,6,0.468,-0.821,6,Potato,10.54,10.54,Rabi_Potato_Boro
2020-01-12,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.06,11.88,43.7,21.61,4,0.635,-0.872,7,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-13,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,22.91,11.31,50.1,21.81,1,1.337,-0.749,8,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-14,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.39,13.04,51.3,20.42,4,1.18,-0.797,9,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-15,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.78,11.32,40.1,22.8,4,1.758,-0.796,10,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-16,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.88,10.02,50.7,22.42,4,1.642,-0.747,11,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-17,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.08,13.4,42.4,21.57,4,0.334,-0.752,12,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-18,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.3,12.12,49.3,23.36,4,0.885,-0.772,13,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-19,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.23,11.82,46.5,22.34,5,2.09,-0.79,14,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-20,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,22.46,11.99,48.8,22.54,4,1.155,-0.766,15,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-21,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,22.84,11.74,51.5,21.89,7,0.399,-0.703,16,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-22,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.95,11.0,45.6,23.2,2,0.421,-0.736,17,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-23,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.65,10.76,45.8,20.84,8,0.505,-0.81,18,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-24,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.64,11.33,43.2,23.17,1,1.141,-0.804,19,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-25,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.29,10.66,45.5,22.02,2,1.585,-0.711,20,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-26,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,27.88,10.99,36.0,21.94,4,1.204,-0.707,21,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-27,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.7,10.27,48.3,21.2,4,1.044,-0.695,22,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-28,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.2,12.73,48.9,23.08,5,1.366,-0.68,23,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-29,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.97,12.08,44.9,21.32,6,1.211,-0.684,24,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-30,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.29,10.36,41.9,22.06,5,2.199,-0.698,25,Potato,0.0,10.54,Rabi_Potato_Boro
2020-01-31,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.67,10.32,45.1,21.3,8,2.065,-0.73,26,Potato,0.0,10.54,Rabi_Potato_Boro
2020-02-01,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.59,11.09,46.5,21.11,8,2.125,-0.602,27,Potato,0.0,10.54,Rabi_Potato_Boro
2020-02-02,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.32,11.37,41.3,23.73,2,0.715,-0.705,28,Potato,0.0,10.54,Rabi_Potato_Boro
2020-02-03,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.13,10.78,39.1,21.27,5,1.489,-0.708,29,Potato,0.0,10.54,Rabi_Potato_Boro
2020-02-04,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,22.9,11.52,41.3,20.4,2,0.695,-0.714,30,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-05,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.7,12.04,37.3,22.51,2,0.71,-0.72,31,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-06,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.31,13.42,42.3,22.32,6,1.875,-0.63,32,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-07,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.44,13.4,40.1,20.86,5,1.391,-0.671,33,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-08,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.86,12.53,34.3,24.02,6,0.954,-0.734,34,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-09,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,28.96,11.96,47.1,22.03,6,0.573,-0.7,35,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-10,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.8,11.24,47.1,23.41,5,1.086,-0.585,36,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-11,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.93,11.27,42.5,21.26,8,1.561,-0.576,37,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-12,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.73,12.23,43.2,21.19,4,1.648,-0.569,38,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-13,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.45,11.82,51.3,21.5,3,1.298,-0.524,39,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-14,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,23.98,11.24,42.6,21.59,3,1.183,-0.652,40,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-15,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.33,11.58,45.7,21.77,7,1.062,-0.631,41,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-16,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.8,13.48,49.3,20.79,4,0.762,-0.589,42,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-17,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,27.9,15.23,41.4,20.34,6,1.158,-0.568,43,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-18,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.81,12.42,53.4,21.97,2,1.81,-0.615,44,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-19,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.07,12.4,48.6,21.52,8,2.183,-0.639,45,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-20,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,28.27,12.98,42.4,20.29,4,0.871,-0.652,46,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-21,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,24.12,12.02,47.2,21.61,8,2.186,-0.594,47,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-22,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,25.39,11.32,44.4,21.18,1,1.341,-0.546,48,Potato,0.0,0.0,Rabi_Potato_Boro
2020-02-23,Gangetic_New_Alluvial_Zone,Purba_Bardhaman,23.25,87.85,0.0,26.02,11.6,48.7,22.51,2,0.684,-0.548,49,Potato,0.0,0.0,Rabi_Potato_Boro
