Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2,MJO_Phase,MJO_Amplitude,Nino34_Anomaly,Dry_Spell_Days_Streak,Target_Crops,Rolling_Rainfall_7d_mm,Rolling_Rainfall_30d_mm,Drought_Stress_Index
2020-01-01,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.01,13.92,42.8,20.78,3,0.802,-0.912,1,Pulses_Arhar,0.0,0.0,0.0
2020-01-02,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.4,10.46,49.7,21.23,7,1.525,-0.788,2,Pulses_Arhar,0.0,0.0,0.0
2020-01-03,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.62,13.51,48.6,21.08,7,0.816,-0.796,3,Pulses_Arhar,0.0,0.0,0.0
2020-01-04,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.28,11.51,37.1,19.21,8,1.321,-0.801,4,Pulses_Arhar,0.0,0.0,0.0
2020-01-05,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.68,13.33,45.7,22.3,2,0.607,-0.715,5,Pulses_Arhar,0.0,0.0,0.0
2020-01-06,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,26.07,13.73,44.3,24.11,5,1.854,-0.777,6,Pulses_Arhar,0.0,0.0,0.0
2020-01-07,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,26.97,11.94,46.4,22.01,8,1.607,-0.651,7,Pulses_Arhar,0.0,0.0,0.0
2020-01-08,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.96,14.47,42.9,20.78,6,1.122,-0.806,8,Pulses_Arhar,0.0,0.0,0.018
2020-01-09,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.9,13.14,44.6,21.79,4,0.834,-0.934,9,Pulses_Arhar,0.0,0.0,0.005
2020-01-10,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.64,11.55,44.5,22.0,2,2.064,-0.803,10,Pulses_Arhar,0.0,0.0,0.032
2020-01-11,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.19,11.73,42.8,22.08,6,0.468,-0.821,11,Pulses_Arhar,0.0,0.0,0.2
2020-01-12,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.26,11.76,43.9,21.37,4,0.635,-0.872,12,Pulses_Arhar,0.0,0.0,0.093
2020-01-13,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.19,11.22,44.2,19.93,1,1.337,-0.749,13,Pulses_Arhar,0.0,0.0,0.28
2020-01-14,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.03,13.42,44.8,21.99,4,1.18,-0.797,14,Pulses_Arhar,0.0,0.0,0.312
2020-01-15,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.9,14.83,44.9,20.39,4,1.758,-0.796,15,Pulses_Arhar,0.0,0.0,0.295
2020-01-16,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.28,13.31,42.4,23.36,4,1.642,-0.747,16,Pulses_Arhar,0.0,0.0,0.404
2020-01-17,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.19,11.75,44.9,22.41,4,0.334,-0.752,17,Pulses_Arhar,0.0,0.0,0.34
2020-01-18,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.61,12.75,42.5,23.41,4,0.885,-0.772,18,Pulses_Arhar,0.0,0.0,0.5
2020-01-19,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.8,12.76,42.8,20.79,5,2.09,-0.79,19,Pulses_Arhar,0.0,0.0,0.45
2020-01-20,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,25.74,10.53,44.8,21.05,4,1.155,-0.766,20,Pulses_Arhar,0.0,0.0,0.337
2020-01-21,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.71,13.17,46.9,21.49,7,0.399,-0.703,21,Pulses_Arhar,0.0,0.0,0.576
2020-01-22,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,29.75,12.65,39.6,23.04,2,0.421,-0.736,22,Pulses_Arhar,0.0,0.0,0.617
2020-01-23,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,25.57,13.74,45.3,20.89,8,0.505,-0.81,23,Pulses_Arhar,0.0,0.0,0.448
2020-01-24,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.28,14.6,47.5,22.57,1,1.141,-0.804,24,Pulses_Arhar,0.0,0.0,0.624
2020-01-25,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,26.61,11.73,39.5,21.59,2,1.585,-0.711,25,Pulses_Arhar,0.0,0.0,0.58
2020-01-26,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,27.55,11.7,45.6,22.65,4,1.204,-0.707,26,Pulses_Arhar,0.0,0.0,0.668
2020-01-27,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,30.41,11.45,42.9,23.22,4,1.044,-0.695,27,Pulses_Arhar,0.0,0.0,0.85
2020-01-28,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,25.61,11.62,41.8,21.81,5,1.366,-0.68,28,Pulses_Arhar,0.0,0.0,0.651
2020-01-29,Red_Laterite_Zone,Purulia,23.33,86.36,0.0,28.29,13.14,42.9,21.92,6,1.211,-0.684,29,Pulses_Arhar,0.0,0.0,0.824
