Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2,MJO_Phase,MJO_Amplitude,Nino34_Anomaly,Dry_Spell_Days_Streak,Target_Crops,Rolling_Rainfall_7d_mm,Rolling_Rainfall_30d_mm,Waterlogging_Risk_Index
2020-01-01,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,20.19,12.17,45.2,23.9,3,0.802,-0.912,1,Pineapple,0.0,0.0,0.026
2020-01-02,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.51,9.77,43.0,21.39,7,1.525,-0.788,2,Pineapple,0.0,0.0,0.015
2020-01-03,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.51,11.13,41.6,22.09,7,0.816,-0.796,3,Pineapple,0.0,0.0,0.008
2020-01-04,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.89,9.57,43.8,23.14,8,1.321,-0.801,4,Pineapple,0.0,0.0,0.019
2020-01-05,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.09,9.79,47.2,23.64,2,0.607,-0.715,5,Pineapple,0.0,0.0,0.036
2020-01-06,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,20.67,8.69,49.1,23.45,5,1.854,-0.777,6,Pineapple,0.0,0.0,0.045
2020-01-07,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,25.42,8.39,48.8,22.32,8,1.607,-0.651,7,Pineapple,0.0,0.0,0.044
2020-01-08,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,22.92,9.01,45.1,21.46,6,1.122,-0.806,8,Pineapple,0.0,0.0,0.025
2020-01-09,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,20.35,10.77,47.5,22.58,4,0.834,-0.934,9,Pineapple,0.0,0.0,0.037
2020-01-10,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.31,11.06,44.5,23.92,2,2.064,-0.803,10,Pineapple,0.0,0.0,0.022
2020-01-11,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.57,10.64,44.2,23.57,6,0.468,-0.821,11,Pineapple,0.0,0.0,0.021
2020-01-12,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,20.84,8.93,46.4,21.92,4,0.635,-0.872,12,Pineapple,0.0,0.0,0.032
2020-01-13,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,24.62,12.39,50.1,19.94,1,1.337,-0.749,13,Pineapple,0.0,0.0,0.05
2020-01-14,Terai_Teesta_Zone,Jalpaiguri,26.54,88.72,0.0,21.94,11.25,45.7,22.11,4,1.18,-0.797,14,Pineapple,0.0,0.0,0.028
