Date,Zone,District,Latitude,Longitude,Rainfall_Observed_mm,Tmax_C,Tmin_C,Relative_Humidity_pct,Solar_Radiation_MJm2
2026-01-01,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,21.4,11.18,74.5,13.27
2026-01-02,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,21.86,12.48,74.6,13.09
2026-01-03,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,21.02,12.87,75.7,10.87
2026-01-04,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,20.47,11.61,74.2,6.41
2026-01-05,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,20.44,9.89,73.3,8.15
2026-01-06,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,20.66,9.46,71.9,10.28
2026-01-07,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,21.38,8.83,67.4,13.4
2026-01-08,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,21.85,10.38,65.3,14.37
2026-01-09,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,22.26,11.14,64.0,14.32
2026-01-10,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,21.43,10.14,63.2,12.18
2026-01-11,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,22.72,11.11,62.1,13.0
2026-01-12,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.0,12.24,60.1,14.89
2026-01-13,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.23,11.99,57.5,15.59
2026-01-14,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.57,11.32,63.8,14.48
2026-01-15,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.21,12.39,63.5,14.19
2026-01-16,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.86,12.97,60.6,14.03
2026-01-17,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,23.71,12.82,61.0,14.54
2026-01-18,Terai_Teesta_Alluvial_Zone,Alipurduar,26.49,89.53,0.0,24.21,12.36,63.1,13.62
