model_district,block_lgd,block_name,centroid_lat,centroid_lon,elevation_m
Alipurduar,02171,Kalchini,26.60459,89.57345,94.0
Alipurduar,02173,Alipurduar - I,26.5965,89.34453,73.0
Alipurduar,2170,Madarihat,26.74195,89.20028,162.0
Alipurduar,2171,Kalchini,26.69411,89.47528,126.0
Alipurduar,2172,Kumargram,26.59925,89.77222,88.0
Alipurduar,2173,Alipurduar - I,26.54761,89.37602,63.0
Alipurduar,2174,Alipurduar - II,26.50964,89.63763,53.0
Alipurduar,2175,Falakata,26.59713,89.16673,70.0
Bankura,2356,Saltora,23.5343,86.97101,138.0
Bankura,2357,Mejia,23.54442,87.1259,87.0
Bankura,2358,Gangajalghati,23.41261,87.11782,114.0
Bankura,2359,Chhatna,23.33856,86.89351,123.0
Bankura,2360,Indpur,23.14249,86.888,134.0
Bankura,2361,Bankura - I,23.22569,86.98574,97.0
Bankura,2362,Bankura - II,23.27769,87.10312,92.0
Bankura,2363,Bighorns,23.37775,87.27374,80.0
Bankura,2364,Sonamukhi,23.30069,87.40302,60.0
Bankura,2365,Patrasayer,23.20056,87.51434,68.0
Bankura,2366,Indus,23.1112,87.64894,33.0
Bankura,2367,Kotulpur,22.99189,87.59357,27.0
Bankura,2368,Jaipur,23.02736,87.46682,48.0
Bankura,2369,Bishnupur,23.08131,87.34285,59.0
Bankura,2370,Onda,23.1251,87.16252,95.0
Bankura,2371,Taldangra,22.99916,87.13673,84.0
Bankura,2372,Simlapal,22.91739,87.07316,60.0
Bankura,2373,Khatra,22.97846,86.87448,132.0
Bankura,2374,Hirbandh,23.07335,86.80467,171.0
Bankura,2375,Ranibandh,22.85101,86.75666,205.0
Bankura,2376,Raipur,22.75801,86.8978,95.0
Bankura,2377,Sarenga,22.79495,87.00451,86.0
Birbhum_Suri,2249,Murarai - I,24.47714,87.84289,38.0
Birbhum_Suri,2250,Murarai - II,24.42763,87.91921,34.0
Birbhum_Suri,2251,Nalhati - I,24.29507,87.83626,48.0
Birbhum_Suri,2252,Nalhati - II,24.27436,87.9725,34.0
Birbhum_Suri,2253,Rampurhat - I,24.17664,87.73092,54.0
Birbhum_Suri,2254,Rampurhat - II,24.15732,87.86776,30.0
Birbhum_Suri,2255,Mayureswar - I,24.04211,87.76528,41.0
Birbhum_Suri,2256,Mayureswar - II,23.94926,87.79235,41.0
Birbhum_Suri,2257,Mohammad Bazar,24.03182,87.57584,68.0
Birbhum_Suri,2258,Rajnagar,23.95991,87.34342,99.0
Birbhum_Suri,2259,Suri - I,23.90482,87.50064,78.0
Birbhum_Suri,2260,Suri - II,23.84443,87.5718,51.0
Birbhum_Suri,2261,Sainthia,23.86356,87.67225,44.0
Birbhum_Suri,2262,Labpur,23.8141,87.81976,42.0
Birbhum_Suri,2263,Nanoor,23.66937,87.8708,24.0
Birbhum_Suri,2264,Bolpur Sriniketan,23.67392,87.70349,51.0
Birbhum_Suri,2265,Illambazar,23.67359,87.52764,56.0
Birbhum_Suri,2266,Dubrajpur,23.79874,87.41172,72.0
Birbhum_Suri,2267,Khoyrasol,23.79922,87.23932,88.0
Cooch_Behar,2179,Haldibari,26.31759,88.82523,68.0
Cooch_Behar,2180,Mekliganj,26.39155,88.96421,65.0
Cooch_Behar,2181,Mathabhanga - I,26.37995,89.149,54.0
Cooch_Behar,2182,Mathabhanga - II,26.41692,89.23756,54.0
Cooch_Behar,2183,KOCH BIHAR - I,26.26214,89.41204,42.0
Cooch_Behar,2184,KOCH BIHAR - II,26.40632,89.43496,54.0
Cooch_Behar,2185,Tufanganj - I,26.30294,89.62213,39.0
Cooch_Behar,2186,Tufanganj - II,26.37309,89.74938,38.0
Cooch_Behar,2187,Dinhata - I,26.12417,89.44107,34.0
Cooch_Behar,2188,Dinhata - II,26.10482,89.56365,36.0
