model_district,block_lgd_code,gp_lgd_code,gp_name,centroid_lat,centroid_lon,elevation_m
Alipurduar,2170,109796,Bandapani,26.78456,89.11489,171.0
Alipurduar,2170,109798,Birpara-Ii,26.76485,89.16461,198.0
Alipurduar,2170,109799,Hantapara,26.75314,89.23794,185.0
Alipurduar,2170,109800,Khayarbari,26.65664,89.23724,84.0
Alipurduar,2170,109801,Lankapara,26.78576,89.2128,264.0
Alipurduar,2170,109802,Madarihat,26.7113,89.26038,101.0
Alipurduar,2170,109803,Rangalibajna,26.70023,89.19485,92.0
Alipurduar,2170,109804,Shishujhumra,26.71687,89.10526,120.0
Alipurduar,2170,109805,Totopara Ballalguri,26.79023,89.28863,232.0
Alipurduar,2171,109774,Chuapara,26.76365,89.43249,183.0
Alipurduar,2171,109775,Dalsing Para,26.78292,89.35947,159.0
Alipurduar,2171,109776,Garopara,26.6592,89.46896,99.0
Alipurduar,2171,109777,Jaigaon-I,26.78798,89.39023,179.0
Alipurduar,2171,109779,Kalchini,26.69914,89.45308,124.0
Alipurduar,2171,109780,Latabari,26.61963,89.42724,77.0
Alipurduar,2171,109781,Malangi,26.72913,89.34993,126.0
Alipurduar,2171,109782,Mendabari,26.70083,89.33513,108.0
Alipurduar,2171,109783,Rajabhatkhawa,26.66853,89.54903,132.0
Alipurduar,2171,109784,Satali,26.68907,89.37302,116.0
Alipurduar,2172,109785,Chengamari,26.55499,89.83444,66.0
Alipurduar,2172,109786,Kamakhyaguri-I,26.47724,89.74936,54.0
Alipurduar,2172,109787,Kamakhyaguri-Ii,26.45489,89.72083,49.0
Alipurduar,2172,109788,Khoardanga-I,26.56045,89.78126,65.0
Alipurduar,2172,109789,Khoardanga-Ii,26.50615,89.77189,58.0
Alipurduar,2172,109790,Kumargram,26.61577,89.82635,84.0
Alipurduar,2172,109791,Newland Kumargram Sankosh,26.6721,89.82389,107.0
Alipurduar,2172,109792,Raidak,26.61607,89.74345,80.0
Alipurduar,2172,109793,Turturikhanda,26.69648,89.68606,176.0
Alipurduar,2172,109794,Valka Barabisa-I,26.48396,89.80838,55.0
Alipurduar,2172,109795,Valka Barabisa-Ii,26.46021,89.84714,49.0
Alipurduar,2173,109710,Banchukamari,26.52391,89.49418,50.0
Alipurduar,2173,109711,Chakowakheti,26.50315,89.39698,57.0
