Village_LGD_Code,Village_Name,District,Block,Num_GP_Codes,GP_LGD_Codes,GP_Names,Survey_Geometry_Count,Duplication_Category
306226,Icha Khasmahal,Kalimpong,Kalimpong -I,2,261006; 261016,Lower Echhay; Upper Echhay,1,B: Single SOI Geometry to Multiple GPs
306343,Gorubathan Khasmahal,Kalimpong,Gorubathan,3,260972; 260973; 260974,Aahaley; Dalim; Garubathan-I,1,B: Single SOI Geometry to Multiple GPs
306397,Bukim Tea Garden (Tharbu) (P),Darjeeling,Mirik,2,261049; 261050,Paheligaon School Dara-I; Paheligaon School Dara-Ii,1,B: Single SOI Geometry to Multiple GPs
306400,Saurinibasti,Darjeeling,Mirik,2,261051; 261052,Soureni-I; Soureni-Ii,1,B: Single SOI Geometry to Multiple GPs
306401,Mirik Khasmahal (P),Darjeeling,Mirik,2,261049; 261050,Paheligaon School Dara-I; Paheligaon School Dara-Ii,1,B: Single SOI Geometry to Multiple GPs
306405,Purba Phuguri Tea Garden,Darjeeling,Mirik,2,261051; 261052,Soureni-I; Soureni-Ii,1,B: Single SOI Geometry to Multiple GPs
306407,New Fallodi Tea Garden(Ghyabari),Darjeeling,Mirik,2,261051; 261052,Soureni-I; Soureni-Ii,1,B: Single SOI Geometry to Multiple GPs
306446,Mahanadi Forest,Darjeeling,Kurseong,2,261040; 261045,Settong-Iii; Sukna,1,B: Single SOI Geometry to Multiple GPs
306489,Cart Road (Ct),Darjeeling,Kurseong,2,261042; 261043,St. Marrys-I; St. Marrys-Ii,1,B: Single SOI Geometry to Multiple GPs
306563,Tari (Ct),Darjeeling,Matigara,2,109148; 109151,Atharakhai; Matigara-Ii,1,B: Single SOI Geometry to Multiple GPs
306565,Jitu (Ct),Darjeeling,Matigara,2,109148; 109151,Atharakhai; Matigara-Ii,1,B: Single SOI Geometry to Multiple GPs
306856,Junglee Mohal,Jalpaiguri,Rajganj,3,109845; 109846; 109851,Dabgram-I; Dabgram-Ii; Mantadari,1,B: Single SOI Geometry to Multiple GPs
