index,date,district,issue,old_tmax,old_tmin,new_tmax,new_tmin
562,2021-07-16,Purba_Bardhaman,Inversion Tmax (30.23 C) < Tmin (31.33 C),30.23,31.33,31.83,30.23
5267,2022-06-02,Nadia,Inversion Tmax (24.97 C) < Tmin (27.13 C),24.97,27.13,27.63,24.97
7104,2021-06-12,Murshidabad,Inversion Tmax (23.66 C) < Tmin (27.02 C),23.66,27.02,27.52,23.66
7539,2022-08-21,Murshidabad,Inversion Tmax (27.42 C) < Tmin (28.92 C),27.42,28.92,29.42,27.42
17723,2020-07-06,Jalpaiguri,Inversion Tmax (26.42 C) < Tmin (29.15 C),26.42,29.15,29.65,26.42
17726,2020-07-09,Jalpaiguri,Inversion Tmax (25.91 C) < Tmin (27.65 C),25.91,27.65,28.15,25.91
17728,2020-07-11,Jalpaiguri,Inversion Tmax (24.82 C) < Tmin (27.58 C),24.82,27.58,28.08,24.82
17757,2020-08-09,Jalpaiguri,Inversion Tmax (24.03 C) < Tmin (29.27 C),24.03,29.27,29.77,24.03
17761,2020-08-13,Jalpaiguri,Inversion Tmax (24.99 C) < Tmin (26.45 C),24.99,26.45,26.95,24.99
17800,2020-09-21,Jalpaiguri,Inversion Tmax (20.75 C) < Tmin (23.04 C),20.75,23.04,23.54,20.75
17929,2021-01-28,Jalpaiguri,Inversion Tmax (9.72 C) < Tmin (11.94 C),9.72,11.94,12.44,9.72
18042,2021-05-21,Jalpaiguri,Inversion Tmax (25.79 C) < Tmin (25.82 C),25.79,25.82,26.32,25.79
18074,2021-06-22,Jalpaiguri,Inversion Tmax (23.39 C) < Tmin (27.65 C),23.39,27.65,28.15,23.39
18099,2021-07-17,Jalpaiguri,Inversion Tmax (23.67 C) < Tmin (27.36 C),23.67,27.36,27.86,23.67
18116,2021-08-03,Jalpaiguri,Inversion Tmax (23.62 C) < Tmin (28.35 C),23.62,28.35,28.85,23.62
18462,2022-07-15,Jalpaiguri,Inversion Tmax (25.68 C) < Tmin (28.69 C),25.68,28.69,29.19,25.68
18485,2022-08-07,Jalpaiguri,Inversion Tmax (17.53 C) < Tmin (26.77 C),17.53,26.77,27.27,17.53
18510,2022-09-01,Jalpaiguri,Inversion Tmax (17.64 C) < Tmin (22.91 C),17.64,22.91,23.41,17.64
18792,2023-06-10,Jalpaiguri,Inversion Tmax (21.14 C) < Tmin (26.67 C),21.14,26.67,27.17,21.14
19131,2024-05-14,Jalpaiguri,Inversion Tmax (17.71 C) < Tmin (22.94 C),17.71,22.94,23.44,17.71
19161,2024-06-13,Jalpaiguri,Inversion Tmax (27.32 C) < Tmin (27.41 C),27.32,27.41,27.91,27.32
19174,2024-06-26,Jalpaiguri,Inversion Tmax (26.82 C) < Tmin (27.48 C),26.82,27.48,27.98,26.82
19182,2024-07-04,Jalpaiguri,Unphysical low Tmax (4.79 C) during heavy rain,4.79,26.29,27.49,26.29
19188,2024-07-10,Jalpaiguri,Inversion Tmax (27.56 C) < Tmin (28.93 C),27.56,28.93,29.43,27.56
19225,2024-08-16,Jalpaiguri,Inversion Tmax (23.42 C) < Tmin (26.88 C),23.42,26.88,27.38,23.42
19262,2024-09-22,Jalpaiguri,Inversion Tmax (14.61 C) < Tmin (23.29 C),14.61,23.29,23.79,14.61
19493,2025-05-11,Jalpaiguri,Inversion Tmax (19.64 C) < Tmin (20.46 C),19.64,20.46,20.96,19.64
19498,2025-05-16,Jalpaiguri,Inversion Tmax (20.42 C) < Tmin (24.04 C),20.42,24.04,24.54,20.42
19532,2025-06-19,Jalpaiguri,Inversion Tmax (25.86 C) < Tmin (26.44 C),25.86,26.44,26.94,25.86
19553,2025-07-10,Jalpaiguri,Inversion Tmax (25.36 C) < Tmin (25.98 C),25.36,25.98,26.48,25.36
19598,2025-08-24,Jalpaiguri,Inversion Tmax (25.79 C) < Tmin (26.07 C),25.79,26.07,26.57,25.79
19607,2025-09-02,Jalpaiguri,Inversion Tmax (23.16 C) < Tmin (24.52 C),23.16,24.52,25.02,23.16
19905,2020-06-26,Alipurduar,Inversion Tmax (24.61 C) < Tmin (27.4 C),24.61,27.4,27.9,24.61
19945,2020-08-05,Alipurduar,Inversion Tmax (23.49 C) < Tmin (26.95 C),23.49,26.95,27.45,23.49
19949,2020-08-09,Alipurduar,Inversion Tmax (26.44 C) < Tmin (27.8 C),26.44,27.8,28.3,26.44
19953,2020-08-13,Alipurduar,Inversion Tmax (28.16 C) < Tmin (28.38 C),28.16,28.38,28.88,28.16
19955,2020-08-15,Alipurduar,Inversion Tmax (24.42 C) < Tmin (26.64 C),24.42,26.64,27.14,24.42
19995,2020-09-24,Alipurduar,Inversion Tmax (19.7 C) < Tmin (22.31 C),19.7,22.31,22.81,19.7
20287,2021-07-13,Alipurduar,Inversion Tmax (22.81 C) < Tmin (28.03 C),22.81,28.03,28.53,22.81
20288,2021-07-14,Alipurduar,Inversion Tmax (28.13 C) < Tmin (29.41 C),28.13,29.41,29.91,28.13
20303,2021-07-29,Alipurduar,Inversion Tmax (25.41 C) < Tmin (28.27 C),25.41,28.27,28.77,25.41
20309,2021-08-04,Alipurduar,Inversion Tmax (25.29 C) < Tmin (26.43 C),25.29,26.43,26.93,25.29
20591,2022-05-13,Alipurduar,Inversion Tmax (10.98 C) < Tmin (23.85 C),10.98,23.85,24.35,10.98
20594,2022-05-16,Alipurduar,Inversion Tmax (22.93 C) < Tmin (23.92 C),22.93,23.92,24.42,22.93
20603,2022-05-25,Alipurduar,Inversion Tmax (21.68 C) < Tmin (22.06 C),21.68,22.06,22.56,21.68
